
华数|全网,#genre#
CCTV1,http://125.210.150.58:9090/live/hzgq-cctv1gq-h264.m3u8
CCTV2,http://125.210.150.58:9090/live/hzgq-cctv2gq-h264.m3u8
CCTV3,http://125.210.150.58:9090/live/hzgq-cctv3gq-h264.m3u8
CCTV4,http://125.210.150.58:9090/live/hzgq-cctv4gq-h264.m3u8
CCTV5,http://125.210.150.58:9090/live/hzgq-cctv5gq-h264.m3u8
CCTV5+,http://125.210.150.58:9090/live/hzgq-cctvzhgq-h264.m3u8
CCTV6,http://125.210.150.58:9090/live/hzgq-cctv6gq-h264.m3u8
CCTV7,http://125.210.150.58:9090/live/hzgq-cctv7gq-h264.m3u8
CCTV8,http://125.210.150.58:9090/live/hzgq-cctv8gq-h264.m3u8
CCTV9,http://125.210.150.58:9090/live/hzgq-cctvjlgq-h264.m3u8
CCTV10,http://125.210.150.58:9090/live/hzgq-cctv10gq-h264.m3u8
CCTV11,http://125.210.150.58:9090/live/hzgq-cctv11gq-h264.m3u8
CCTV12,http://125.210.150.58:9090/live/hzgq-cctv12gq-h264.m3u8
CCTV13,http://125.210.150.58:9090/live/hzgq-cctvnewsgq-h264.m3u8
CCTV14,http://125.210.150.58:9090/live/hzgq-cctvsegq-h264.m3u8
CCTV15,http://125.210.150.58:9090/live/hzgq-cctvmusicgq-h264.m3u8
CCTV16,http://125.210.150.58:9090/live/hzgq-cctv16gq-h264.m3u8
CCTV17,http://125.210.150.58:9090/live/hzgq-cctv17gq-h264.m3u8

CGTN,http://125.210.150.58:9090/live/hszx-cctvgj-h264.m3u8
CETV4,http://125.210.150.58:9090/live/hszx-CETV-4-h264.m3u8

湖南卫视,http://125.210.150.58:9090/live/hzgq-hnwsgq-h264.m3u8
江苏卫视,http://125.210.150.58:9090/live/hzgq-jswsgq-h264.m3u8
东方卫视,http://125.210.150.58:9090/live/hzgq-dftvgq-h264.m3u8
广东卫视,http://125.210.150.58:9090/live/hzgq-gdwsgq-h264.m3u8
深圳卫视,http://125.210.150.58:9090/live/hzgq-szwsgq-h264.m3u8
天津卫视,http://125.210.150.58:9090/live/hzgq-tjwsgq-h264.m3u8
重庆卫视,http://125.210.150.58:9090/live/hzgq-cqwsgq-h264.m3u8
黑龙江卫视,http://125.210.150.58:9090/live/hzgq-hljwsgq-h264.m3u8
吉林卫视,http://125.210.150.58:9090/live/hzgq-jlwsgq-h264.m3u8
辽宁卫视,http://125.210.150.58:9090/live/hzgq-lnwsgq-h264.m3u8
北京卫视,http://125.210.150.58:9090/live/hzgq-bjgqws-h264.m3u8
内蒙古卫视,http://125.210.150.58:9090/live/hszx-nmgtv-h264.m3u8
宁夏卫视,http://125.210.150.58:9090/live/hszx-nxtv-h264.m3u8
甘肃卫视,http://125.210.150.58:9090/live/hszx-gstv-h264.m3u8
青海卫视,http://125.210.150.58:9090/live/hszx-qhtv-h264.m3u8
陕西卫视,http://125.210.150.58:9090/live/hszx-sxtv-h264.m3u8
河北卫视,http://125.210.150.58:9090/live/hzgq-hbwsgq1-h264.m3u8
山西卫视,http://125.210.150.58:9090/live/hszx-shanxitv-h264.m3u8
山东卫视,http://125.210.150.58:9090/live/hzgq-sdwsgq-h264.m3u8
安徽卫视,http://125.210.150.58:9090/live/hzgq-ahwsgq-h264.m3u8
河南卫视,http://125.210.150.58:9090/live/hzgq-henanwsgq-h264.m3u8
湖北卫视,http://125.210.150.58:9090/live/hzgq-hbwsgq-h264.m3u8
江西卫视,http://125.210.150.58:9090/live/hzgq-jxwsgq-h264.m3u8
浙江卫视,http://125.210.150.58:9090/live/hzgq-zjwsgq-h264.m3u8
东南卫视,http://125.210.150.58:9090/live/hzgq-fjwsgq-h264.m3u8
广西卫视,http://125.210.150.58:9090/live/hszx-gxtv-h264.m3u8
云南卫视,http://125.210.150.58:9090/live/hzgq-ynwsgq-h264.m3u8
贵州卫视,http://125.210.150.58:9090/live/hszx-gztv-h264.m3u8
四川卫视,http://125.210.150.58:9090/live/hszx-sctv-h264.m3u8
新疆卫视,http://125.210.150.58:9090/live/hszx-xjtv-h264.m3u8
兵团卫视,http://125.210.150.58:9090/live/hszx-bttv-h264.m3u8
西藏卫视,http://125.210.150.58:9090/live/hszx-xztv-h264.m3u8
海南卫视,http://125.210.150.58:9090/live/hszx-lytv-h264.m3u8
三沙卫视,http://125.210.150.58:9090/live/hzgq-ssws-h264.m3u8
